output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap degree_day_factor
code__a__623 1.5 0.25 -0.5 0.75 1.5
code__a__624 1.5 0.25 -0.5 1.25 0.5
code__a__625 1.5 0.25 -0.5 1.25 1
code__a__626 1.5 0.25 -0.5 1.25 1.5
code__a__627 1.5 0.25 0 0.75 0.5
code__a__628 1.5 0.25 0 0.75 1
code__a__629 1.5 0.25 0 0.75 1.5
code__a__630 1.5 0.25 0 1.25 0.5
code__a__631 1.5 0.25 0 1.25 1
code__a__632 1.5 0.25 0 1.25 1.5
code__a__633 1.5 0.25 0.5 0.75 0.5
code__a__634 1.5 0.25 0.5 0.75 1
code__a__635 1.5 0.25 0.5 0.75 1.5
code__a__636 1.5 0.25 0.5 1.25 0.5
code__a__637 1.5 0.25 0.5 1.25 1
code__a__638 1.5 0.25 0.5 1.25 1.5
code__a__639 1.5 0.25 1 0.75 0.5
code__a__640 1.5 0.25 1 0.75 1
code__a__641 1.5 0.25 1 0.75 1.5
code__a__642 1.5 0.25 1 1.25 0.5
code__a__643 1.5 0.25 1 1.25 1
code__a__644 1.5 0.25 1 1.25 1.5
code__a__645 1.5 0.5 -1 0.75 0.5
code__a__646 1.5 0.5 -1 0.75 1
code__a__647 1.5 0.5 -1 0.75 1.5
code__a__648 1.5 0.5 -1 1.25 0.5
code__a__649 1.5 0.5 -1 1.25 1
code__a__650 1.5 0.5 -1 1.25 1.5
code__a__651 1.5 0.5 -0.5 0.75 0.5
code__a__652 1.5 0.5 -0.5 0.75 1
code__a__653 1.5 0.5 -0.5 0.75 1.5
code__a__654 1.5 0.5 -0.5 1.25 0.5
code__a__655 1.5 0.5 -0.5 1.25 1
code__a__656 1.5 0.5 -0.5 1.25 1.5
code__a__657 1.5 0.5 0 0.75 0.5
code__a__658 1.5 0.5 0 0.75 1
code__a__659 1.5 0.5 0 0.75 1.5
code__a__660 1.5 0.5 0 1.25 0.5
code__a__661 1.5 0.5 0 1.25 1
code__a__662 1.5 0.5 0 1.25 1.5
code__a__663 1.5 0.5 0.5 0.75 0.5
code__a__664 1.5 0.5 0.5 0.75 1
code__a__665 1.5 0.5 0.5 0.75 1.5
code__a__666 1.5 0.5 0.5 1.25 0.5
code__a__667 1.5 0.5 0.5 1.25 1
code__a__668 1.5 0.5 0.5 1.25 1.5
code__a__669 1.5 0.5 1 0.75 0.5
code__a__670 1.5 0.5 1 0.75 1
code__a__671 1.5 0.5 1 0.75 1.5
code__a__672 1.5 0.5 1 1.25 0.5
code__a__673 1.5 0.5 1 1.25 1
code__a__674 1.5 0.5 1 1.25 1.5
