output_folder min_soil_depth_frac log_ksat log_recession_coef stor_cap
code__a__1013 1 0 0.5 1.375
code__a__1014 1 0 1 1.375
code__a__1015 1 0.25 -1 1.375
code__a__1016 1 0.25 -0.5 1.375
code__a__1017 1 0.25 0 1.375
code__a__1018 1 0.25 0.5 1.375
code__a__1019 1 0.25 1 1.375
code__a__1020 1 0.5 -1 1.375
code__a__1021 1 0.5 -0.5 1.375
code__a__1022 1 0.5 0 1.375
code__a__1023 1 0.5 0.5 1.375
code__a__1024 1 0.5 1 1.375
code__a__1025 1 0.75 -1 1.375
code__a__1026 1 0.75 -0.5 1.375
code__a__1027 1 0.75 0 1.375
code__a__1028 1 0.75 0.5 1.375
code__a__1029 1 0.75 1 1.375
code__a__1030 1 1 -1 1.375
code__a__1031 1 1 -0.5 1.375
code__a__1032 1 1 0 1.375
code__a__1033 1 1 0.5 1.375
code__a__1034 1 1 1 1.375
code__a__1035 1.5 -1 -1 0.625
code__a__1036 1.5 -1 -0.5 0.625
code__a__1037 1.5 -1 0 0.625
code__a__1038 1.5 -1 0.5 0.625
code__a__1039 1.5 -1 1 0.625
code__a__1040 1.5 -0.75 -1 0.625
code__a__1041 1.5 -0.75 -0.5 0.625
code__a__1042 1.5 -0.75 0 0.625
code__a__1043 1.5 -0.75 0.5 0.625
code__a__1044 1.5 -0.75 1 0.625
code__a__1045 1.5 -0.5 -1 0.625
code__a__1046 1.5 -0.5 -0.5 0.625
code__a__1047 1.5 -0.5 0 0.625
code__a__1048 1.5 -0.5 0.5 0.625
code__a__1049 1.5 -0.5 1 0.625
code__a__1050 1.5 -0.25 -1 0.625
code__a__1051 1.5 -0.25 -0.5 0.625
code__a__1052 1.5 -0.25 0 0.625
code__a__1053 1.5 -0.25 0.5 0.625
code__a__1054 1.5 -0.25 1 0.625
code__a__1055 1.5 0 -1 0.625
code__a__1056 1.5 0 -0.5 0.625
code__a__1057 1.5 0 0 0.625
code__a__1058 1.5 0 0.5 0.625
code__a__1059 1.5 0 1 0.625
code__a__1060 1.5 0.25 -1 0.625
code__a__1061 1.5 0.25 -0.5 0.625
code__a__1062 1.5 0.25 0 0.625
code__a__1063 1.5 0.25 0.5 0.625
code__a__1064 1.5 0.25 1 0.625
code__a__1065 1.5 0.5 -1 0.625
code__a__1066 1.5 0.5 -0.5 0.625
code__a__1067 1.5 0.5 0 0.625
code__a__1068 1.5 0.5 0.5 0.625
code__a__1069 1.5 0.5 1 0.625
code__a__1070 1.5 0.75 -1 0.625
code__a__1071 1.5 0.75 -0.5 0.625
code__a__1072 1.5 0.75 0 0.625
code__a__1073 1.5 0.75 0.5 0.625
code__a__1074 1.5 0.75 1 0.625
code__a__1075 1.5 1 -1 0.625
code__a__1076 1.5 1 -0.5 0.625
code__a__1077 1.5 1 0 0.625
code__a__1078 1.5 1 0.5 0.625
code__a__1079 1.5 1 1 0.625
code__a__1080 1.5 -1 -1 0.875
code__a__1081 1.5 -1 -0.5 0.875
code__a__1082 1.5 -1 0 0.875
code__a__1083 1.5 -1 0.5 0.875
code__a__1084 1.5 -1 1 0.875
code__a__1085 1.5 -0.75 -1 0.875
code__a__1086 1.5 -0.75 -0.5 0.875
code__a__1087 1.5 -0.75 0 0.875
code__a__1088 1.5 -0.75 0.5 0.875
code__a__1089 1.5 -0.75 1 0.875
code__a__1090 1.5 -0.5 -1 0.875
code__a__1091 1.5 -0.5 -0.5 0.875
code__a__1092 1.5 -0.5 0 0.875
code__a__1093 1.5 -0.5 0.5 0.875
code__a__1094 1.5 -0.5 1 0.875
code__a__1095 1.5 -0.25 -1 0.875
code__a__1096 1.5 -0.25 -0.5 0.875
code__a__1097 1.5 -0.25 0 0.875
code__a__1098 1.5 -0.25 0.5 0.875
code__a__1099 1.5 -0.25 1 0.875
code__a__1100 1.5 0 -1 0.875
code__a__1101 1.5 0 -0.5 0.875
code__a__1102 1.5 0 0 0.875
code__a__1103 1.5 0 0.5 0.875
code__a__1104 1.5 0 1 0.875
code__a__1105 1.5 0.25 -1 0.875
code__a__1106 1.5 0.25 -0.5 0.875
code__a__1107 1.5 0.25 0 0.875
code__a__1108 1.5 0.25 0.5 0.875
code__a__1109 1.5 0.25 1 0.875
code__a__1110 1.5 0.5 -1 0.875
code__a__1111 1.5 0.5 -0.5 0.875
code__a__1112 1.5 0.5 0 0.875
code__a__1113 1.5 0.5 0.5 0.875
code__a__1114 1.5 0.5 1 0.875
code__a__1115 1.5 0.75 -1 0.875
code__a__1116 1.5 0.75 -0.5 0.875
code__a__1117 1.5 0.75 0 0.875
code__a__1118 1.5 0.75 0.5 0.875
code__a__1119 1.5 0.75 1 0.875
code__a__1120 1.5 1 -1 0.875
code__a__1121 1.5 1 -0.5 0.875
code__a__1122 1.5 1 0 0.875
code__a__1123 1.5 1 0.5 0.875
code__a__1124 1.5 1 1 0.875
code__a__1125 1.5 -1 -1 1.125
code__a__1126 1.5 -1 -0.5 1.125
code__a__1127 1.5 -1 0 1.125
code__a__1128 1.5 -1 0.5 1.125
code__a__1129 1.5 -1 1 1.125
code__a__1130 1.5 -0.75 -1 1.125
code__a__1131 1.5 -0.75 -0.5 1.125
code__a__1132 1.5 -0.75 0 1.125
code__a__1133 1.5 -0.75 0.5 1.125
code__a__1134 1.5 -0.75 1 1.125
code__a__1135 1.5 -0.5 -1 1.125
code__a__1136 1.5 -0.5 -0.5 1.125
code__a__1137 1.5 -0.5 0 1.125
code__a__1138 1.5 -0.5 0.5 1.125
code__a__1139 1.5 -0.5 1 1.125
code__a__1140 1.5 -0.25 -1 1.125
code__a__1141 1.5 -0.25 -0.5 1.125
code__a__1142 1.5 -0.25 0 1.125
code__a__1143 1.5 -0.25 0.5 1.125
code__a__1144 1.5 -0.25 1 1.125
code__a__1145 1.5 0 -1 1.125
code__a__1146 1.5 0 -0.5 1.125
code__a__1147 1.5 0 0 1.125
code__a__1148 1.5 0 0.5 1.125
code__a__1149 1.5 0 1 1.125
code__a__1150 1.5 0.25 -1 1.125
code__a__1151 1.5 0.25 -0.5 1.125
code__a__1152 1.5 0.25 0 1.125
code__a__1153 1.5 0.25 0.5 1.125
code__a__1154 1.5 0.25 1 1.125
code__a__1155 1.5 0.5 -1 1.125
code__a__1156 1.5 0.5 -0.5 1.125
code__a__1157 1.5 0.5 0 1.125
code__a__1158 1.5 0.5 0.5 1.125
code__a__1159 1.5 0.5 1 1.125
code__a__1160 1.5 0.75 -1 1.125
code__a__1161 1.5 0.75 -0.5 1.125
code__a__1162 1.5 0.75 0 1.125
code__a__1163 1.5 0.75 0.5 1.125
code__a__1164 1.5 0.75 1 1.125
code__a__1165 1.5 1 -1 1.125
code__a__1166 1.5 1 -0.5 1.125
code__a__1167 1.5 1 0 1.125
code__a__1168 1.5 1 0.5 1.125
code__a__1169 1.5 1 1 1.125
code__a__1170 1.5 -1 -1 1.375
code__a__1171 1.5 -1 -0.5 1.375
code__a__1172 1.5 -1 0 1.375
code__a__1173 1.5 -1 0.5 1.375
code__a__1174 1.5 -1 1 1.375
code__a__1175 1.5 -0.75 -1 1.375
